"TOA5","Potchefstroom","CR1000X","12345","CR1000X.Std.13.02","CPU:StratusDemo.CR1X","51201","WeatherData"
"TIMESTAMP","RECORD","AirTC_Avg","RH","DewPt_Avg","BP_mbar_Avg","WS_ms_Avg","WS_Max","WSpd_Min","WindDir","Wind_Dir_SD1_WVT","SlrW_Avg","SlrMJ_Tot","UV_Index_Avg","Rain_mm_Tot","SoilTC_Avg","VWC_Avg","Visibility_km","PM2_5_Avg","PM10_Avg","Lightning_Tot","LightningDist","LightningEnergy","BattV_Avg","PTemp_C_Avg","MPPT_SolV_Avg","MPPT_SolI_Avg","MPPT_SolP_Avg","MPPT_BatV_Avg","MPPT_LdV_Avg","MPPT_LdI_Avg","SolarCharger_BoardTemp_1_Avg"
"2026-08-12 09:00:00","51","19.64","66.2","13.17","862.49","1.00","1.40","0.62","68.9","7.2","405.1","0.1215","4.4","0.00","16.27","0.1589","22.1","16.1","36.0","0","NAN","NAN","13.954","25.83","19.05","1.83","34.9","13.954","13.82","0.16","25.08"
"2026-08-12 09:05:00","52","19.99","64.9","13.19","862.62","1.47","2.52","1.05","69.2","14.4","413.5","0.1241","4.5","0.00","16.32","0.1588","23.3","17.5","30.0","0","NAN","NAN","13.946","26.55","19.14","1.89","36.2","13.946","13.85","0.30","25.94"
"2026-08-12 09:10:00","53","20.13","64.4","13.19","862.55","1.32","2.18","0.82","69.4","6.1","452.1","0.1356","5.0","0.00","16.37","0.1587","22.0","14.3","30.5","0","NAN","NAN","14.026","26.50","19.14","2.06","39.4","14.026","13.92","0.26","25.99"
"2026-08-12 09:15:00","54","20.33","63.8","13.27","862.64","1.75","2.60","1.14","69.7","17.2","461.1","0.1383","5.1","0.00","16.42","0.1586","17.4","16.9","38.9","0","NAN","NAN","14.013","26.46","19.41","2.36","45.8","14.013","13.95","0.27","25.84"
"2026-08-12 09:20:00","55","20.36","65.3","13.65","862.56","1.65","2.72","0.86","70.0","13.8","479.2","0.1438","5.3","0.00","16.48","0.1585","22.2","12.9","28.8","0","NAN","NAN","14.036","27.26","19.01","2.44","46.4","14.036","13.91","0.12","26.01"
"2026-08-12 09:25:00","56","20.73","65.7","14.08","862.48","1.92","3.16","1.03","70.2","12.2","468.2","0.1405","5.1","0.00","16.53","0.1584","23.6","15.8","32.9","0","NAN","NAN","14.016","27.49","19.23","2.19","42.1","14.016","13.95","0.21","26.06"
"2026-08-12 09:30:00","57","20.62","65.3","13.88","862.31","1.98","2.78","1.35","70.5","6.4","501.9","0.1506","5.5","0.00","16.58","0.1583","24.0","14.3","26.9","0","NAN","NAN","14.072","26.67","19.21","2.37","45.5","14.072","13.96","0.32","25.83"
"2026-08-12 09:35:00","58","20.71","62.3","13.24","862.53","1.49","2.28","1.01","70.7","13.4","517.1","0.1551","5.7","0.00","16.64","0.1582","19.1","18.0","38.8","0","NAN","NAN","14.070","26.98","19.36","2.41","46.7","14.070","14.01","0.28","26.70"
"2026-08-12 09:40:00","59","21.32","60.1","13.27","862.44","1.97","3.28","1.10","71.0","12.1","506.1","0.1518","5.6","0.00","16.70","0.1581","26.8","13.4","26.1","0","NAN","NAN","14.087","28.17","19.18","2.37","45.5","14.087","14.03","0.27","27.03"
"2026-08-12 09:45:00","60","21.32","61.9","13.72","862.28","1.55","2.61","1.06","71.2","13.1","512.4","0.1537","5.6","0.00","16.75","0.1580","25.2","14.6","27.3","0","NAN","NAN","14.089","28.03","19.28","2.40","46.3","14.089","13.96","0.15","26.72"
"2026-08-12 09:50:00","61","21.84","57.0","12.95","862.18","1.75","2.45","0.93","71.5","10.8","552.3","0.1657","6.1","0.00","16.81","0.1579","20.8","17.0","31.5","0","NAN","NAN","14.104","27.94","19.66","2.59","50.9","14.104","13.98","0.26","27.29"
"2026-08-12 09:55:00","62","21.57","59.4","13.33","862.19","1.53","2.39","1.01","71.8","9.5","543.7","0.1631","6.0","0.00","16.87","0.1578","23.9","13.3","27.8","0","NAN","NAN","14.092","28.18","19.45","2.55","49.6","14.092","13.95","0.19","27.26"
"2026-08-12 10:00:00","63","22.04","56.7","13.04","862.24","1.68","2.89","1.07","72.0","10.4","522.2","0.1566","5.8","0.00","16.93","0.1577","24.3","16.1","27.6","0","NAN","NAN","14.090","28.00","19.25","2.56","49.3","14.090","13.94","0.25","27.63"
"2026-08-12 10:05:00","64","22.29","58.5","13.76","862.09","2.26","3.47","1.50","72.3","13.2","559.0","0.1677","6.2","0.00","16.99","0.1576","18.1","16.2","37.2","0","NAN","NAN","14.142","29.02","18.98","2.76","52.4","14.142","14.02","0.18","28.20"
"2026-08-12 10:10:00","65","22.29","56.3","13.17","862.06","2.27","3.44","1.22","72.5","17.6","541.2","0.1623","6.0","0.00","17.05","0.1575","24.6","16.3","30.2","0","NAN","NAN","14.113","28.35","19.53","2.57","50.2","14.113","14.06","0.17","28.25"
"2026-08-12 10:15:00","66","22.43","56.2","13.29","862.20","1.98","3.15","1.08","72.7","6.3","555.9","0.1668","6.2","0.00","17.12","0.1574","24.4","14.9","25.8","0","NAN","NAN","14.133","28.49","19.23","2.77","53.3","14.133","14.01","0.21","28.19"
"2026-08-12 10:20:00","67","22.41","57.5","13.62","862.06","2.44","3.43","1.76","73.0","9.2","572.5","0.1718","6.3","0.00","17.18","0.1573","23.0","14.6","33.3","0","NAN","NAN","14.152","29.10","19.34","2.75","53.2","14.152","14.09","0.19","28.11"
"2026-08-12 10:25:00","68","22.91","55.3","13.47","862.23","2.32","3.90","1.24","73.2","6.9","601.4","0.1804","6.7","0.00","17.24","0.1571","28.3","11.6","22.4","0","NAN","NAN","14.165","28.82","19.71","2.86","56.4","14.165","14.03","0.22","28.09"
"2026-08-12 10:30:00","69","22.64","55.9","13.40","861.97","2.65","4.00","1.75","73.5","17.3","592.6","0.1778","6.6","0.00","17.31","0.1570","25.8","13.4","24.4","0","NAN","NAN","14.149","29.41","19.19","2.75","52.8","14.149","14.06","0.29","28.48"
"2026-08-12 10:35:00","70","23.12","55.1","13.62","861.99","2.34","3.30","1.25","73.7","17.2","595.6","0.1787","6.6","0.00","17.37","0.1569","26.8","14.4","25.3","0","NAN","NAN","14.179","30.06","19.23","2.99","57.5","14.179","14.03","0.30","28.26"
"2026-08-12 10:40:00","71","23.43","53.0","13.29","862.04","2.66","4.27","1.26","74.0","14.8","625.8","0.1878","7.0","0.00","17.44","0.1568","24.6","14.6","27.1","0","NAN","NAN","14.220","30.16","19.22","2.91","55.9","14.220","14.10","0.13","28.78"
"2026-08-12 10:45:00","72","23.49","53.5","13.52","862.05","2.24","3.43","1.45","74.2","6.7","609.5","0.1828","6.8","0.00","17.50","0.1567","21.3","16.0","32.4","0","NAN","NAN","14.191","30.44","19.55","2.92","57.1","14.191","14.09","0.32","28.55"
"2026-08-12 10:50:00","73","23.50","53.7","13.59","862.08","2.21","3.36","1.16","74.4","17.7","654.1","0.1962","7.3","0.00","17.57","0.1565","23.8","13.6","31.0","0","NAN","NAN","14.223","30.05","19.83","3.30","65.4","14.223","14.09","0.25","28.85"
"2026-08-12 10:55:00","74","23.96","51.8","13.44","861.83","2.57","3.51","1.26","74.7","13.0","617.0","0.1851","6.9","0.00","17.64","0.1564","27.1","13.3","23.6","0","NAN","NAN","14.206","30.57","19.74","2.88","56.9","14.206","14.08","0.27","29.95"
"2026-08-12 11:00:00","75","23.50","55.3","14.01","861.82","2.22","3.79","1.03","74.9","11.2","605.4","0.1816","6.7","0.00","17.70","0.1563","26.6","12.6","25.0","0","NAN","NAN","14.178","30.03","19.73","3.08","60.8","14.178","14.04","0.25","29.49"
"2026-08-12 11:05:00","76","24.23","52.4","13.86","862.00","2.46","3.35","1.55","75.2","17.0","633.9","0.1902","7.1","0.00","17.77","0.1561","27.1","14.9","27.0","0","NAN","NAN","14.202","30.57","19.67","3.00","59.0","14.202","14.10","0.32","29.61"
"2026-08-12 11:10:00","77","24.32","50.1","13.26","861.81","3.05","4.65","1.53","75.4","10.0","638.4","0.1915","7.1","0.00","17.84","0.1560","24.2","13.7","25.7","0","NAN","NAN","14.219","30.76","20.00","3.13","62.6","14.219","14.13","0.16","30.26"
"2026-08-12 11:15:00","78","24.27","50.4","13.31","861.95","2.71","4.57","1.62","75.6","7.1","613.7","0.1841","6.8","0.00","17.91","0.1559","21.9","14.9","32.3","0","NAN","NAN","14.180","30.72","19.25","3.06","58.9","14.180","14.09","0.27","30.00"
"2026-08-12 11:20:00","79","24.71","50.9","13.87","861.93","3.10","4.30","2.28","75.8","8.4","645.2","0.1936","7.2","0.00","17.98","0.1558","27.0","10.3","20.1","0","NAN","NAN","14.239","30.74","19.30","3.04","58.7","14.239","14.16","0.21","29.97"
"2026-08-12 11:25:00","80","24.63","50.1","13.55","861.74","2.71","3.91","1.85","76.1","17.6","640.3","0.1921","7.1","0.00","18.05","0.1556","23.1","14.4","30.1","0","NAN","NAN","14.224","31.60","19.58","3.22","63.1","14.224","14.15","0.23","29.66"
"2026-08-12 11:30:00","81","24.93","50.4","13.92","861.73","2.75","4.39","1.60","76.3","11.6","648.8","0.1946","7.2","0.00","18.11","0.1555","27.9","12.4","22.1","0","NAN","NAN","14.229","31.09","19.43","3.09","60.0","14.229","14.11","0.17","30.18"
"2026-08-12 11:35:00","82","24.74","48.8","13.24","861.85","3.23","5.48","1.66","76.5","16.3","645.9","0.1938","7.2","0.00","18.18","0.1554","28.3","10.5","22.9","0","NAN","NAN","14.246","31.29","19.53","3.11","60.7","14.246","14.16","0.26","30.20"
"2026-08-12 11:40:00","83","25.04","48.9","13.54","861.63","2.89","4.81","1.50","76.8","16.7","633.5","0.1900","7.1","0.00","18.25","0.1553","24.4","13.6","28.0","0","NAN","NAN","14.209","30.94","19.37","2.98","57.7","14.209","14.13","0.33","30.48"
"2026-08-12 11:45:00","84","25.48","46.7","13.25","861.59","3.29","5.73","2.12","77.0","7.5","662.6","0.1988","7.4","0.00","18.32","0.1551","31.1","9.8","19.6","0","NAN","NAN","14.240","31.86","20.04","3.15","63.1","14.240","14.10","0.33","31.02"
"2026-08-12 11:50:00","85","25.01","49.1","13.59","861.57","3.38","5.39","1.65","77.2","6.4","637.0","0.1911","7.1","0.00","18.39","0.1550","25.9","10.8","24.7","0","NAN","NAN","14.203","31.40","19.69","3.16","62.2","14.203","14.15","0.18","30.93"
"2026-08-12 11:55:00","86","25.24","49.8","14.01","861.81","3.03","4.50","1.48","77.4","10.6","647.1","0.1941","7.2","0.00","18.46","0.1549","27.7","10.0","20.5","0","NAN","NAN","14.219","31.85","19.58","3.13","61.3","14.219","14.08","0.13","30.34"
"2026-08-12 12:00:00","87","25.37","48.2","13.63","861.71","3.38","5.57","1.58","77.6","10.7","651.5","0.1954","7.3","0.00","18.53","0.1547","23.7","12.2","26.4","0","NAN","NAN","14.227","31.39","19.49","3.29","64.1","14.227","14.12","0.30","30.97"
"2026-08-12 12:05:00","88","25.41","47.2","13.36","861.59","3.32","5.27","1.91","77.9","13.1","648.8","0.1946","7.2","0.00","18.60","0.1546","28.7","10.7","22.1","0","NAN","NAN","14.236","32.09","19.95","3.10","61.8","14.236","14.11","0.13","31.07"
"2026-08-12 12:10:00","89","25.84","46.6","13.52","861.67","3.55","5.01","1.68","78.1","12.0","669.4","0.2008","7.5","0.00","18.67","0.1545","25.0","12.0","24.0","0","NAN","NAN","14.250","32.56","19.49","3.14","61.2","14.250","14.11","0.31","31.43"
"2026-08-12 12:15:00","90","25.93","45.1","13.13","861.62","3.45","5.86","2.44","78.3","15.9","669.9","0.2010","7.5","0.00","18.74","0.1543","25.2","11.7","25.1","0","NAN","NAN","14.237","32.27","19.74","3.19","63.0","14.237","14.17","0.18","31.43"
"2026-08-12 12:20:00","91","26.03","45.8","13.46","861.51","3.31","4.57","2.28","78.5","8.2","638.3","0.1915","7.1","0.00","18.81","0.1542","22.5","12.8","29.1","0","NAN","NAN","14.201","33.09","19.98","3.06","61.2","14.201","14.14","0.17","31.31"
"2026-08-12 12:25:00","92","26.40","43.8","13.10","861.60","3.26","4.51","2.34","78.7","15.1","656.4","0.1969","7.3","0.00","18.88","0.1541","29.4","9.8","22.4","0","NAN","NAN","14.245","33.23","19.60","3.23","63.3","14.245","14.12","0.26","32.11"
"2026-08-12 12:30:00","93","25.91","46.4","13.55","861.52","3.69","6.05","2.56","78.9","12.9","639.4","0.1918","7.1","0.00","18.95","0.1540","29.0","9.2","17.4","0","NAN","NAN","14.238","32.30","19.61","3.13","61.4","14.238","14.13","0.17","30.94"
"2026-08-12 12:35:00","94","26.45","43.5","13.04","861.61","3.16","4.99","1.61","79.1","8.7","649.5","0.1949","7.2","0.00","19.02","0.1538","24.0","12.3","29.4","0","NAN","NAN","14.219","33.09","19.87","3.10","61.6","14.219","14.16","0.17","32.45"
