Item,Category,References,Qty,Value,Footprint,Manufacturer,MPN,LCSC,Populate,Assembly,Notes
18,Inductor,L1,1,"47uH 0.5A",L_APV_ANR4030,Taiyo Yuden,NR4018T470M,C223059,Yes,Bottom SMT,E-paper boost
19,Antenna,L2,1,MA5532-AE,Coilcraft_MA5532-AE,Coilcraft,MA5532-AED,,Yes,Bottom SMT,"500 kHz loop; keep layout void and tuning network"
20,MOSFET,Q1,1,Si1308EDL,SOT-323,"Vishay Siliconix",SI1308EDL-T1-BE3,,Yes,Bottom SMT,
21,MOSFET,Q2,1,AO3400A,SOT-23,"Alpha & Omega Semiconductor",AO3400A,,Yes,Bottom SMT,
22,Resistor,"R1,R2",2,5.1k,0402,YAGEO,RC0402FR-075K1L,,Yes,Bottom SMT,
23,Resistor,"R3,R4",2,4.7k,0402,YAGEO,RC0402FR-074K7L,,Yes,Bottom SMT,
24,Resistor,R5,1,680R,0402,YAGEO,RC0402FR-07680RL,,Yes,Bottom SMT,
25,Resistor,"R6,R7,R8,R9,R11,R12,R13,R14,R21",9,10k,0402,YAGEO,RC0402FR-0710KL,,Yes,Bottom SMT,
26,Resistor,R15,1,2.2R,0402,YAGEO,RC0402FR-072R2L,,Yes,Bottom SMT,
27,Resistor,"R16,R18,R19",3,1M,0402,YAGEO,RC0402FR-071ML,,Yes,Bottom SMT,
28,Resistor,R17,1,"10k 1%",0402,YAGEO,RC0402FR-0710KL,,Yes,Bottom SMT,
29,Resistor,R20,1,100R,0402,YAGEO,RC0402FR-07100RL,,Yes,Bottom SMT,
30,Button,"SW2,SW3,SW4",3,"Front user button",SKQG_WithStem,Alps Alpine,SKQGABE010,,Yes,Front hand solder,"Historical factory BOM omitted SW2/SW3; complete build needs all three"
31,Button,SW5,1,"Side power button",Panasonic_EVQPUD,Panasonic,EVQPUD02K,C388885,Yes,Bottom SMT,Controls charger MR/Ship Mode behavior
32,Lightning sensor,U1,1,AS3935,QFN-16 4x4mm,ScioSense,AS3935-BQFT,,Yes,Bottom SMT,Requires exposed-pad assembly and antenna calibration
33,USB ESD,U2,1,USBLC6-2P6,SOT-666,STMicroelectronics,USBLC6-2P6,C15999,Yes,Bottom SMT,
34,LDO,U3,1,TLV75533PDBV,SOT-23-5,Texas Instruments,TLV75533PDBVR,C404027,Yes,Bottom SMT,Quiet always-on 3.3 V rail
35,MCU module,U4,1,ESP32-C6-MINI-1U,Library:ESP32-C6-MINI-1U,Espressif Systems,ESP32-C6-MINI-1U-H4,,Yes,Bottom SMT,External-antenna module variant used in source
36,Charger,U5,1,BQ25186DLHR,WSON-10,Texas Instruments,BQ25186DLHR,,Yes,Bottom SMT,Requires exposed-pad assembly and firmware configuration
37,Temp/humidity,U6,1,SHT40-AD1B-R2,DFN-4 1.5x1.5mm,Sensirion,SHT40-AD1B-R2,C2909890,Yes,Bottom SMT,
38,Display,DISP1,1,"1.54in 200x200 e-paper",24-pin FPC,Good Display,GDEY0154D67,,Required external,Hand assembly,"Insert only with all power removed; verify controller/panel revision"
39,Battery,BAT1,1,"Protected 1S LiPo, about 500mAh",JST-PH 2-pin,User selected,"Example: Adafruit 1578",,Required external,Hand assembly,"Verify dimensions, protection, charge-current compatibility, and polarity"
40,DNP option,SW1,0,Reset button,EVQP7A,Panasonic,"Footprint only",,No (DNP),Do not populate,Reset option present in layout
41,DNP option,JP1,0,Boot jumper,0402,Generic,"0R if intentionally fitted",,No (DNP),Do not populate,Boot option present in layout
